title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
Fifty Shades of Grey,0.0,0.0,0.0,40000000,0.0,0.0,85171450,1.0,0.0,0.0,569651467,0.0,1.0,125.0,0.0,1.0,2015,0,0,0,1
Kong: Skull Island,1.0,1.0,0.0,185000000,0.0,0.0,61025472,0.0,0.0,1.0,566652812,0.0,0.0,118.0,1.0,0.0,2017,0,0,1,0
The Smurfs,0.0,1.0,1.0,110000000,1.0,0.0,35611637,0.0,1.0,1.0,563749323,0.0,0.0,103.0,0.0,0.0,2011,0,1,0,0
King Kong,1.0,1.0,0.0,207000000,0.0,0.0,50130145,1.0,0.0,0.0,562363449,0.0,1.0,187.0,0.0,0.0,2005,0,0,1,0
Cars 2,0.0,1.0,1.0,200000000,1.0,0.0,66135507,0.0,1.0,0.0,559852396,1.0,0.0,106.0,0.0,0.0,2011,1,0,0,0
Puss in Boots,0.0,1.0,1.0,130000000,1.0,0.0,34077439,0.0,1.0,1.0,554987477,0.0,0.0,90.0,0.0,0.0,2011,0,1,0,0
Armageddon,1.0,1.0,0.0,140000000,0.0,0.0,36089972,0.0,0.0,0.0,553709788,0.0,0.0,151.0,1.0,1.0,1998,0,0,1,0
The Day After Tomorrow,1.0,1.0,0.0,125000000,0.0,0.0,68743584,0.0,0.0,0.0,552639571,0.0,0.0,124.0,1.0,1.0,2004,0,0,1,0
Ted,0.0,0.0,0.0,50000000,1.0,0.0,54415205,0.0,0.0,0.0,549368315,0.0,0.0,106.0,0.0,0.0,2012,0,0,0,1
American Sniper,1.0,0.0,0.0,58800000,0.0,0.0,633456,1.0,0.0,0.0,547426372,1.0,0.0,133.0,0.0,0.0,2014,0,0,0,1
Mission: Impossible II,1.0,1.0,0.0,125000000,0.0,0.0,57845297,0.0,0.0,0.0,546388108,0.0,0.0,123.0,0.0,1.0,2000,0,0,1,0
X-Men: Apocalypse,1.0,1.0,0.0,178000000,0.0,0.0,65769562,0.0,0.0,0.0,543934105,0.0,0.0,144.0,1.0,0.0,2016,0,0,1,0
Despicable Me,0.0,1.0,1.0,69000000,1.0,1.0,56397125,0.0,1.0,0.0,543113985,0.0,0.0,95.0,1.0,0.0,2010,0,1,0,0
Cinderella,0.0,0.0,0.0,95000000,0.0,0.0,67877361,1.0,1.0,1.0,542351353,1.0,1.0,105.0,0.0,0.0,2015,0,1,0,0
World War Z,1.0,1.0,0.0,190000000,0.0,0.0,66411834,0.0,0.0,0.0,540007876,1.0,0.0,116.0,1.0,0.0,2013,0,0,1,0
Brave,0.0,1.0,1.0,185000000,1.0,0.0,66323594,0.0,1.0,1.0,538983207,0.0,0.0,93.0,0.0,0.0,2012,0,1,0,0
Star Wars: Episode V - The Empire Strikes Back,1.0,1.0,0.0,18000000,0.0,0.0,4910483,0.0,0.0,1.0,209398025,0.0,0.0,124.0,1.0,0.0,1980,0,1,0,0
The Simpsons Movie,0.0,1.0,1.0,75000000,1.0,0.0,74036787,0.0,0.0,0.0,536414270,0.0,0.0,87.0,0.0,0.0,2007,0,0,1,0
The Revenant,1.0,1.0,0.0,135000000,0.0,0.0,474560,1.0,0.0,0.0,532950503,1.0,0.0,156.0,0.0,0.0,2015,0,0,0,1
The Meg,1.0,0.0,0.0,130000000,0.0,0.0,45402195,0.0,0.0,0.0,530243742,1.0,0.0,113.0,1.0,1.0,2018,0,0,1,0
