title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
Fantastic Beasts: The Crimes of Grindelwald,0.0,1.0,0.0,200000000,0.0,0.0,62163104,0.0,1.0,1.0,654855901,0.0,0.0,134.0,0.0,0.0,2018,0,0,1,0
Pirates of the Caribbean: The Curse of the Black Pearl,1.0,1.0,0.0,140000000,0.0,0.0,46630690,0.0,0.0,1.0,654264015,0.0,0.0,143.0,0.0,0.0,2003,0,0,1,0
Star Wars: Episode II - Attack of the Clones,1.0,1.0,0.0,115000000,0.0,0.0,80027814,0.0,0.0,1.0,645256452,0.0,0.0,142.0,1.0,0.0,2002,0,1,0,0
Thor: The Dark World,1.0,1.0,0.0,170000000,0.0,0.0,85737841,0.0,0.0,1.0,644783140,0.0,0.0,112.0,0.0,0.0,2013,0,0,1,0
Sing,0.0,0.0,1.0,75000000,1.0,0.0,35258145,0.0,1.0,0.0,634151679,1.0,0.0,108.0,0.0,0.0,2016,0,1,0,0
Kung Fu Panda,1.0,1.0,1.0,130000000,1.0,0.0,60239130,0.0,1.0,0.0,631744560,0.0,0.0,92.0,0.0,0.0,2008,0,1,0,0
The Incredibles,1.0,1.0,1.0,92000000,0.0,0.0,70467623,0.0,1.0,0.0,631442092,0.0,0.0,115.0,0.0,0.0,2004,0,0,0,0
The Martian,0.0,1.0,0.0,108000000,0.0,0.0,54308575,1.0,0.0,0.0,630161890,0.0,0.0,144.0,1.0,0.0,2015,0,0,1,0
Hancock,1.0,0.0,0.0,150000000,0.0,0.0,62603879,1.0,0.0,1.0,629443428,0.0,0.0,92.0,0.0,0.0,2008,0,0,1,0
Fast Five,1.0,1.0,0.0,125000000,0.0,1.0,86198765,0.0,0.0,0.0,626137675,0.0,0.0,130.0,0.0,1.0,2011,0,0,1,0
Men in Black 3,1.0,1.0,0.0,225000000,1.0,0.0,54592779,0.0,0.0,0.0,624026776,0.0,0.0,106.0,1.0,0.0,2012,0,0,1,0
Iron Man 2,1.0,1.0,0.0,200000000,0.0,0.0,128122480,0.0,0.0,0.0,623933331,0.0,0.0,124.0,1.0,0.0,2010,0,0,1,0
Ratatouille,0.0,1.0,1.0,150000000,1.0,0.0,47027395,0.0,1.0,1.0,623726085,0.0,0.0,111.0,0.0,0.0,2007,1,0,0,0
How to Train Your Dragon 2,1.0,1.0,1.0,145000000,1.0,0.0,49451322,0.0,1.0,1.0,621537519,0.0,0.0,102.0,0.0,0.0,2014,0,1,0,0
Logan,1.0,0.0,0.0,97000000,0.0,0.0,88411916,1.0,0.0,0.0,619021436,0.0,0.0,137.0,1.0,1.0,2017,0,0,0,1
The Lost World: Jurassic Park,1.0,1.0,0.0,73000000,0.0,0.0,72132785,0.0,0.0,0.0,618638999,0.0,0.0,129.0,1.0,0.0,1997,0,0,1,0
Casino Royale,1.0,1.0,0.0,150000000,0.0,0.0,40833156,0.0,0.0,0.0,605999592,0.0,0.0,144.0,0.0,1.0,2006,0,0,1,0
The Passion of the Christ,0.0,0.0,0.0,30000000,0.0,0.0,83848082,1.0,0.0,0.0,611486736,0.0,0.0,127.0,0.0,0.0,2004,0,0,0,1
Mamma Mia!,0.0,0.0,0.0,52000000,1.0,0.0,27751240,0.0,0.0,0.0,609841637,1.0,1.0,108.0,0.0,0.0,2008,0,0,1,0
Life of Pi,0.0,1.0,0.0,120000000,0.0,0.0,22451514,1.0,0.0,1.0,609016565,0.0,0.0,127.0,0.0,0.0,2012,0,1,0,0
Transformers: The Last Knight,1.0,1.0,0.0,217000000,0.0,0.0,44680073,0.0,0.0,0.0,605425157,0.0,0.0,154.0,1.0,0.0,2017,0,0,1,0
Madagascar: Escape 2 Africa,0.0,1.0,1.0,150000000,1.0,0.0,63106589,0.0,1.0,0.0,603900354,0.0,0.0,89.0,0.0,0.0,2008,0,1,0,0
War of the Worlds,1.0,1.0,0.0,132000000,0.0,0.0,64878725,0.0,0.0,0.0,603873119,0.0,0.0,116.0,1.0,0.0,2005,0,0,1,0
Tangled,0.0,1.0,1.0,260000000,1.0,0.0,48767052,0.0,1.0,1.0,592461732,1.0,1.0,100.0,0.0,0.0,2010,0,1,0,0
Quantum of Solace,1.0,1.0,0.0,200000000,0.0,0.0,67528882,0.0,0.0,0.0,589580482,0.0,0.0,106.0,0.0,1.0,2008,0,0,1,0
Men in Black,1.0,1.0,0.0,90000000,1.0,0.0,51068455,0.0,0.0,0.0,250690539,0.0,0.0,98.0,1.0,0.0,1997,0,0,1,0
The Croods,0.0,1.0,1.0,135000000,1.0,0.0,43639736,0.0,1.0,1.0,587204668,0.0,0.0,98.0,0.0,0.0,2013,0,1,0,0
The Hangover Part II,0.0,0.0,0.0,80000000,1.0,0.0,85946294,0.0,0.0,0.0,586764305,0.0,0.0,102.0,0.0,0.0,2011,0,0,0,1
Iron Man,1.0,1.0,0.0,140000000,0.0,0.0,98618668,0.0,0.0,0.0,585366247,0.0,0.0,126.0,1.0,0.0,2008,0,0,1,0
I Am Legend,1.0,1.0,0.0,150000000,0.0,0.0,77211321,1.0,0.0,0.0,585410052,0.0,0.0,101.0,1.0,1.0,2007,0,0,1,0
Ready Player One,1.0,1.0,0.0,175000000,0.0,0.0,41764050,0.0,0.0,0.0,582890172,0.0,0.0,140.0,1.0,0.0,2018,0,0,1,0
"Monsters, Inc.",0.0,1.0,1.0,115000000,1.0,0.0,62577067,0.0,1.0,1.0,528773250,0.0,0.0,92.0,0.0,0.0,2001,1,0,0,0
