title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
Spider-Man: Homecoming,1.0,1.0,,175000000,,,Sony Pictures Entertainment (SPE),117027503,,,,PG-13,880166924,,,133.0,1.0,,2017
Harry Potter and the Chamber of Secrets,,1.0,,100000000,,,Warner Bros.,88357488,,1.0,1.0,PG,878979634,1.0,,161.0,,,2002
Ice Age: Continental Drift,,1.0,1.0,95000000,1.0,,Twentieth Century Fox,46629259,1.0,1.0,,PG,877244782,,,88.0,,,2012
The Secret Life of Pets,,1.0,1.0,75000000,1.0,,Universal Pictures,104352905,,1.0,,PG,875457937,,,87.0,,,2016
Batman v Superman: Dawn of Justice,1.0,1.0,,250000000,,,Warner Bros.,166007347,,,,PG-13,873634919,,,152.0,1.0,,2016
Wolf Warrior 2,1.0,1.0,,30100000,,,The H Collective,219022,1.0,,,,870325439,1.0,,123.0,,1.0,2017
Star Wars: Episode III - Revenge of the Sith,1.0,1.0,,113000000,,,Twentieth Century Fox,108435841,,,1.0,PG-13,868352530,,,140.0,1.0,,2005
The Hunger Games: Catching Fire,1.0,,,130000000,,,Lionsgate,158074286,1.0,,,PG-13,865011746,1.0,,146.0,1.0,1.0,2013
Guardians of the Galaxy Vol. 2,1.0,1.0,,200000000,1.0,,Walt Disney Studios Motion Pictures,146510104,,,,PG-13,863756051,,,136.0,1.0,,2017
Inside Out,,1.0,1.0,175000000,1.0,,Walt Disney Studios Motion Pictures,90440272,,1.0,1.0,PG,857611174,,,95.0,,,2015
Venom,1.0,1.0,,100000000,,,Sony Pictures Entertainment (SPE),80255756,,,,PG-13,856085151,,,112.0,1.0,,2018
Thor: Ragnarok,1.0,1.0,,180000000,1.0,,Walt Disney Studios Motion Pictures,122744989,,,1.0,PG-13,853977126,,,130.0,1.0,,2017
Inception,1.0,1.0,,160000000,,,Warner Bros.,62785337,,,,PG-13,826137188,,,148.0,1.0,1.0,2010
Transformers: Revenge of the Fallen,1.0,1.0,,200000000,,,DreamWorks,108966307,,,,PG-13,836303693,,,149.0,1.0,,2009
The Twilight Saga: Breaking Dawn - Part 2,,1.0,,120000000,,,Lionsgate,141067634,1.0,,1.0,PG-13,829746820,,1.0,115.0,,,2012
Spider-Man,1.0,1.0,,139000000,,,Sony Pictures Entertainment (SPE),114844116,,,,PG-13,821708551,,,121.0,1.0,,2002
Wonder Woman,1.0,1.0,,149000000,,,Warner Bros.,103251471,,,1.0,PG-13,821847012,1.0,,141.0,1.0,,2017
Independence Day,1.0,1.0,,75000000,,,Twentieth Century Fox,50228264,,,,PG-13,817400891,,,145.0,1.0,,1996
Fantastic Beasts and Where to Find Them,,1.0,,180000000,,,Warner Bros.,74403387,,1.0,1.0,PG-13,814037575,,,132.0,,,2016
Shrek the Third,,1.0,1.0,160000000,1.0,,DreamWorks,121629270,,1.0,1.0,PG,813367380,,1.0,93.0,,,2007
Jumanji: The Next Level,1.0,1.0,,125000000,1.0,,Sony Pictures Entertainment (SPE),59251543,,,1.0,PG-13,800059707,,,123.0,,,2019
Harry Potter and the Prisoner of Azkaban,,1.0,,130000000,,,Warner Bros.,93687367,,1.0,1.0,PG,795634069,1.0,,142.0,,,2004
Pirates of the Caribbean: Dead Men Tell No Tales,1.0,1.0,,230000000,,,Walt Disney Studios Motion Pictures,62983253,,,1.0,PG-13,794861794,,,129.0,,,2017
E.T. the Extra-Terrestrial,,,,10500000,,,Universal Pictures,11835389,,1.0,,PG,359197037,,,115.0,1.0,,1982
Mission: Impossible - Fallout,1.0,1.0,,178000000,,,Paramount Pictures,61236534,,,,PG-13,791115104,,,147.0,,1.0,2018
2012,1.0,1.0,,200000000,,,Sony Pictures Entertainment (SPE),65237614,,,,PG-13,769679473,,,158.0,1.0,,2009
Indiana Jones and the Kingdom of the Crystal Skull,1.0,1.0,,185000000,,,Paramount Pictures,100137835,,,,PG-13,790653942,,,122.0,,,2008
Spider-Man 2,1.0,1.0,,200000000,,,Sony Pictures Entertainment (SPE),88156227,,,,PG-13,788976453,,,127.0,1.0,,2004
Fast & Furious 6,1.0,1.0,,160000000,,,Universal Pictures,97375245,,,,PG-13,788679850,,,130.0,,1.0,2013
Deadpool 2,1.0,1.0,,110000000,1.0,,Twentieth Century Fox,125507153,,,,R,734546611,,,119.0,1.0,,2018
