link_stub,title,World Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,year,Domestic Distributor,Domestic Opening,budget,MPAA,Running Time,genres,Original Release Domestic,Original Release International,Original Release Worldwide
/title/tt2076298/?ref_=bo_cso_table_176,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,2019,"Well Go USA Entertainment

",737718,0,,107,"['Action', 'Biography', 'Drama', 'History']",3956031,172389935,176345966
/title/tt0240462/?ref_=bo_cso_table_177,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%,2001,"Twentieth Century Fox

",25037039,70000000,PG,87,"['Comedy', 'Family', 'Fantasy']",112952899,63151445,176104344
/title/tt0317740/?ref_=bo_cso_table_178,The Italian Job,"$176,070,171","$106,128,601",60.3%,"$69,941,570",39.7%,2003,"Paramount Pictures

",19457944,60000000,PG-13,111,"['Action', 'Crime', 'Thriller']",106128601,69941570,176070171
/title/tt0825232/?ref_=bo_cso_table_179,The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%,2007,"Warner Bros.

",335837,45000000,PG-13,97,"['Adventure', 'Comedy', 'Drama']",93466502,81906000,175372502
/title/tt0102945/?ref_=bo_cso_table_180,Sleeping with the Enemy,"$174,999,005","$101,599,005",58.1%,"$73,400,000",41.9%,1991,"Twentieth Century Fox

",13777943,19000000,R,99,"['Drama', 'Thriller']",101599005,73400000,174999005
/title/tt0409847/?ref_=bo_cso_table_181,Cowboys & Aliens,"$174,822,325","$100,240,551",57.3%,"$74,581,774",42.7%,2011,"Universal Pictures

",36431290,163000000,PG-13,119,"['Action', 'Science fiction', 'Thriller', 'Western']",100240551,74581774,174822325
/title/tt7959026/?ref_=bo_cso_table_182,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018,"Warner Bros.

",17509431,50000000,R,116,"['Crime', 'Drama', 'Thriller']",103804407,71000000,174804407
/title/tt0119190/?ref_=bo_cso_table_183,George of the Jungle,"$174,463,257","$105,263,257",60.3%,"$69,200,000",39.7%,1997,"Walt Disney Studios Motion Pictures

",16540791,55000000,PG,92,"['Action', 'Adventure', 'Comedy', 'Family', 'Romance']",105263257,69200000,174463257
/title/tt0413099/?ref_=bo_cso_table_184,Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%,2007,"Universal Pictures

",31192615,175000000,PG,96,"['Comedy', 'Family', 'Fantasy']",100462298,73978426,174440724
/title/tt0211915/?ref_=bo_cso_table_185,Amélie,"$174,024,608","$33,225,499",19.1%,"$140,799,109",80.9%,2001,"Miramax

",136470,10000000,R,122,"['Comedy', 'Romance']",33225499,140696455,173921954
/title/tt2024432/?ref_=bo_cso_table_186,Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013,"Universal Pictures

",34551025,35000000,R,111,"['Comedy', 'Crime', 'Drama']",134506920,39458090,173965010
/title/tt5523010/?ref_=bo_cso_table_187,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018,"Walt Disney Studios Motion Pictures

",20352491,120000000,PG,99,"['Adventure', 'Family', 'Fantasy']",54858851,119102218,173961069
/title/tt0208003/?ref_=bo_cso_table_188,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000,"Twentieth Century Fox

",25661041,30000000,PG-13,99,"['Action', 'Comedy', 'Crime']",117559438,56400000,173959438
/title/tt1637688/?ref_=bo_cso_table_189,In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011,"Twentieth Century Fox

",12050368,40000000,PG-13,109,"['Action', 'Science fiction', 'Thriller']",37520095,136410501,173930596
/title/tt6044910/?ref_=bo_cso_table_190,Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%,2016,"Well Go USA Entertainment

",85082,0,,124,"['Action', 'Adventure', 'Crime', 'Drama', 'History', 'Thriller']",800012,173039060,173839072
/title/tt1229340/?ref_=bo_cso_table_191,Anchorman 2: The Legend Continues,"$173,649,931","$127,352,707",73.3%,"$46,297,224",26.7%,2013,"Paramount Pictures

",26232425,50000000,PG-13,119,['Comedy'],125168368,46296308,171464676
/title/tt3076658/?ref_=bo_cso_table_192,Creed,"$173,567,581","$109,767,581",63.2%,"$63,800,000",36.8%,2015,"Warner Bros.

",29632823,35000000,PG-13,133,"['Drama', 'Sport']",109767581,63800000,173567581
/title/tt1025100/?ref_=bo_cso_table_193,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019,"Paramount Pictures

",20552372,138000000,PG-13,117,"['Action', 'Drama', 'Science fiction', 'Thriller']",48546770,124922746,173469516
/title/tt3631112/?ref_=bo_cso_table_194,The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%,2016,"Universal Pictures

",24536265,45000000,R,112,"['Crime', 'Drama', 'Mystery', 'Thriller']",75395035,97790824,173185859
