title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
The Hangover Part II,2011,Warner Bros.,85946294,80000000,R,102.0,['Comedy'],586764305
Iron Man,2008,Paramount Pictures,98618668,140000000,PG-13,126.0,"['Action', 'Adventure', 'Science fiction']",585366247
I Am Legend,2007,Warner Bros.,77211321,150000000,PG-13,101.0,"['Action', 'Adventure', 'Drama', 'Science fiction', 'Thriller']",585410052
Ready Player One,2018,Warner Bros.,41764050,175000000,PG-13,140.0,"['Action', 'Adventure', 'Science fiction']",582890172
"Monsters, Inc.",2001,Walt Disney Studios Motion Pictures,62577067,115000000,G,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",528773250
Fifty Shades of Grey,2015,Universal Pictures,85171450,40000000,R,125.0,"['Drama', 'Romance', 'Thriller']",569651467
Kong: Skull Island,2017,Warner Bros.,61025472,185000000,PG-13,118.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",566652812
The Smurfs,2011,Sony Pictures Entertainment (SPE),35611637,110000000,PG,103.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",563749323
King Kong,2005,Universal Pictures,50130145,207000000,PG-13,187.0,"['Action', 'Adventure', 'Drama', 'Romance']",562363449
Cars 2,2011,Walt Disney Studios Motion Pictures,66135507,200000000,G,106.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",559852396
Puss in Boots,2011,DreamWorks,34077439,130000000,PG,90.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",554987477
Armageddon,1998,Walt Disney Studios Motion Pictures,36089972,140000000,PG-13,151.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",553709788
The Day After Tomorrow,2004,Twentieth Century Fox,68743584,125000000,PG-13,124.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",552639571
Ted,2012,Universal Pictures,54415205,50000000,R,106.0,['Comedy'],549368315
American Sniper,2014,Warner Bros.,633456,58800000,R,133.0,"['Action', 'Biography', 'Drama', 'War']",547426372
Mission: Impossible II,2000,Paramount Pictures,57845297,125000000,PG-13,123.0,"['Action', 'Adventure', 'Thriller']",546388108
X-Men: Apocalypse,2016,Twentieth Century Fox,65769562,178000000,PG-13,144.0,"['Action', 'Adventure', 'Science fiction']",543934105
Despicable Me,2010,Universal Pictures,56397125,69000000,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",543113985
Cinderella,2015,Walt Disney Studios Motion Pictures,67877361,95000000,PG,105.0,"['Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",542351353
World War Z,2013,Paramount Pictures,66411834,190000000,PG-13,116.0,"['Action', 'Adventure', 'Horror', 'Science fiction']",540007876
Brave,2012,Walt Disney Studios Motion Pictures,66323594,185000000,PG,93.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",538983207
Star Wars: Episode V - The Empire Strikes Back,1980,Twentieth Century Fox,4910483,18000000,PG,124.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",209398025
The Simpsons Movie,2007,Twentieth Century Fox,74036787,75000000,PG-13,87.0,"['Adventure', 'Animation', 'Comedy']",536414270
The Revenant,2015,Twentieth Century Fox,474560,135000000,R,156.0,"['Action', 'Adventure', 'Drama', 'History', 'Western']",532950503
The Meg,2018,Warner Bros.,45402195,130000000,PG-13,113.0,"['Action', 'Horror', 'Science fiction', 'Thriller']",530243742
Ralph Breaks the Internet,2018,Walt Disney Studios Motion Pictures,56237634,175000000,PG,112.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",529323962
Hotel Transylvania 3: Summer Vacation,2018,Sony Pictures Entertainment (SPE),44076225,80000000,PG,97.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Romance']",528583774
Dunkirk,2017,Warner Bros.,50513488,100000000,PG-13,106.0,"['Action', 'Drama', 'History', 'Thriller', 'War']",525245546
How to Train Your Dragon: The Hidden World,2019,Universal Pictures,55022245,129000000,PG,104.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",521799505
Godzilla,1998,Sony Pictures Entertainment (SPE),44047541,130000000,PG-13,139.0,"['Action', 'Science fiction', 'Thriller']",379014294
Sherlock Holmes,2009,Warner Bros.,62304277,90000000,PG-13,128.0,"['Action', 'Adventure', 'Mystery']",524028679
Meet the Fockers,2004,Universal Pictures,46120980,80000000,PG-13,115.0,"['Comedy', 'Romance']",522657936
WALL·E,2008,Walt Disney Studios Motion Pictures,63087526,180000000,,98.0,"['Adventure', 'Animation', 'Family', 'Romance', 'Science fiction']",521311860
Kung Fu Panda 3,2016,Twentieth Century Fox,41282042,145000000,PG,95.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",521170825
Terminator 2: Judgment Day,1991,TriStar Pictures,31765506,102000000,R,137.0,"['Action', 'Science fiction']",204843345
Ant-Man,2015,Walt Disney Studios Motion Pictures,57225526,130000000,PG-13,117.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",519311965
The Grinch,2018,Universal Pictures,67572855,75000000,PG,85.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",511595957
Ghost,1990,Paramount Pictures,12191540,22000000,,127.0,"['Drama', 'Fantasy', 'Romance', 'Thriller']",217631306
Rio 2,2014,Twentieth Century Fox,39327869,103000000,G,101.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Musical']",498781117
Troy,2004,Warner Bros.,46865412,175000000,R,163.0,"['Drama', 'History']",497409852
Toy Story 2,1999,Walt Disney Studios Motion Pictures,300163,90000000,,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",487059677
How to Train Your Dragon,2010,DreamWorks,43732319,165000000,PG,98.0,"['Action', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",494878759
Twister,1996,Warner Bros.,41059405,92000000,,113.0,"['Action', 'Adventure', 'Thriller']",241721524
Oz the Great and Powerful,2013,Walt Disney Studios Motion Pictures,79110453,215000000,PG,130.0,"['Adventure', 'Family', 'Fantasy']",493311825
Clash of the Titans,2010,Warner Bros.,61235105,125000000,PG-13,106.0,"['Action', 'Adventure', 'Fantasy']",493214993
Maleficent: Mistress of Evil,2019,Walt Disney Studios Motion Pictures,36948713,185000000,PG,119.0,"['Adventure', 'Family', 'Fantasy']",491730089
War for the Planet of the Apes,2017,Twentieth Century Fox,56262929,150000000,PG-13,140.0,"['Action', 'Adventure', 'Drama', 'Science fiction', 'Thriller']",490719763
Shrek,2001,DreamWorks Distribution,42347760,60000000,PG,90.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",484409218
Mr. & Mrs. Smith,2005,Twentieth Century Fox,50342878,110000000,PG-13,117.09462915601023,"['Action', 'Comedy', 'Crime', 'Thriller']",487287646
Angels & Demons,2009,Sony Pictures Entertainment (SPE),46204168,150000000,PG-13,138.0,"['Action', 'Mystery', 'Thriller']",485930816
Teenage Mutant Ninja Turtles,2014,Paramount Pictures,65575105,125000000,PG-13,101.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",485004754
Bruce Almighty,2003,Universal Pictures,67953330,81000000,PG-13,101.0,"['Comedy', 'Fantasy']",484592874
Rio,2011,Twentieth Century Fox,39225962,90000000,PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Musical']",483866518
Saving Private Ryan,1998,DreamWorks Distribution,30576104,70000000,R,169.0,"['Drama', 'War']",481840909
Rise of the Planet of the Apes,2011,Twentieth Century Fox,54806191,93000000,PG-13,105.0,"['Action', 'Drama', 'Science fiction', 'Thriller']",481800873
Home Alone,1990,Twentieth Century Fox,17081997,18000000,,103.0,"['Comedy', 'Family']",285761244
Star Wars: Episode VI - Return of the Jedi,1983,Twentieth Century Fox,23019618,32500000,PG,131.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",252583617
Charlie and the Chocolate Factory,2005,Warner Bros.,56178450,150000000,PG,115.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",474968763
Hotel Transylvania 2,2015,Sony Pictures Entertainment (SPE),48464322,80000000,PG,89.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Romance']",474800000
Indiana Jones and the Last Crusade,1989,Paramount Pictures,29355021,48000000,PG-13,127.0,"['Action', 'Adventure']",197171806
San Andreas,2015,Warner Bros.,54588173,110000000,PG-13,114.0,"['Action', 'Adventure', 'Thriller']",473990832
It Chapter Two,2019,Warner Bros.,91062152,79000000,R,169.0,"['Drama', 'Fantasy', 'Horror']",473093228
Jaws,1975,Universal Pictures,7061513,7000000,,124.0,"['Adventure', 'Thriller']",260000000
Wreck-It Ralph,2012,Walt Disney Studios Motion Pictures,49038712,165000000,PG,101.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",471222889
The Hangover,2009,Warner Bros.,44979319,35000000,R,100.0,['Comedy'],468812793
The Lego Movie,2014,Warner Bros.,69050279,60000000,PG,100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",468060692
Bumblebee,2018,Paramount Pictures,21654047,135000000,PG-13,114.0,"['Action', 'Adventure', 'Science fiction']",467989645
Star Trek Into Darkness,2013,Paramount Pictures,70165559,190000000,PG-13,132.0,"['Action', 'Adventure', 'Science fiction']",467365246
The Matrix,1999,Warner Bros.,27788331,63000000,R,136.0,"['Action', 'Science fiction']",463517383
Gladiator,2000,DreamWorks Distribution,34819017,103000000,R,155.0,"['Action', 'Adventure', 'Drama']",460583960
Pretty Woman,1990,Walt Disney Studios Motion Pictures,11280591,14000000,R,119.0,"['Comedy', 'Romance']",178406268
Cars,2006,Walt Disney Studios Motion Pictures,60119509,120000000,,117.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",461983149
X-Men: The Last Stand,2006,Twentieth Century Fox,102750665,210000000,PG-13,104.0,"['Action', 'Adventure', 'Science fiction']",460435291
Lucy,2014,Universal Pictures,43899340,40000000,R,89.0,"['Action', 'Science fiction', 'Thriller']",458863600
Mission: Impossible,1996,Paramount Pictures,45436830,80000000,PG-13,110.0,"['Action', 'Adventure', 'Thriller']",180981856
300,2007,Warner Bros.,70885301,65000000,R,117.0,"['Action', 'Drama']",456068181
The Last Samurai,2003,Warner Bros.,24271354,140000000,R,154.0,"['Action', 'Drama']",454627263
Ocean's Eleven,2001,Warner Bros.,38107822,85000000,PG-13,116.0,"['Crime', 'Thriller']",450717150
Thor,2011,Paramount Pictures,65723338,150000000,PG-13,115.0,"['Action', 'Adventure', 'Fantasy']",449326618
Pearl Harbor,2001,Walt Disney Studios Motion Pictures,59078912,140000000,PG-13,183.0,"['Action', 'Drama', 'History', 'Romance', 'War']",449220945
La La Land,2016,Lionsgate,881104,30000000,PG-13,128.0,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",447407695
Tarzan,1999,Walt Disney Studios Motion Pictures,34221968,130000000,G,88.0,"['Adventure', 'Animation', 'Comedy', 'Family']",448191819
Men in Black II,2002,Sony Pictures Entertainment (SPE),52148751,140000000,PG-13,88.0,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Science fiction']",441818803
The Bourne Ultimatum,2007,Universal Pictures,69283690,110000000,PG-13,115.0,"['Action', 'Adventure', 'Mystery', 'Thriller']",444100035
The Mummy Returns,2001,Universal Pictures,68139035,98000000,PG-13,130.0,"['Action', 'Adventure', 'Fantasy', 'Thriller']",433013274
Alvin and the Chipmunks: The Squeakquel,2009,Twentieth Century Fox,48875415,75000000,PG,88.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",443140005
Les Misérables,2012,Universal Pictures,27281735,61000000,PG-13,158.0,"['Drama', 'Musical', 'Romance']",441809770
Mrs. Doubtfire,1993,Twentieth Century Fox,20468847,25000000,PG-13,125.0,"['Comedy', 'Drama', 'Family']",219195243
Terminator Genisys,2015,Paramount Pictures,27018486,155000000,PG-13,126.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",440603537
Warcraft,2016,Universal Pictures,24166110,160000000,PG-13,123.0,"['Action', 'Adventure', 'Fantasy', 'War']",439048914
The Greatest Showman,2017,Twentieth Century Fox,8805843,84000000,PG,105.0,"['Biography', 'Drama', 'Musical']",434993183
A Star Is Born,2018,Warner Bros.,42908051,36000000,R,136.0,"['Drama', 'Music', 'Romance']",436188866
Pokémon Detective Pikachu,2019,Warner Bros.,54365242,150000000,PG,104.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Science fiction']",433005346
Terminator 3: Rise of the Machines,2003,Warner Bros.,44041440,200000000,R,109.0,"['Action', 'Science fiction']",433371112
Die Another Day,2002,Metro-Goldwyn-Mayer (MGM),47072040,142000000,PG-13,133.0,"['Action', 'Adventure', 'Thriller']",431971116
The Secret Life of Pets 2,2019,Universal Pictures,46652680,80000000,PG,86.0,"['Adventure', 'Animation', 'Comedy', 'Family']",430051293
Cast Away,2000,Twentieth Century Fox,28883406,90000000,PG-13,143.0,"['Adventure', 'Drama', 'Romance']",429632142
Rampage,2018,Warner Bros.,35753093,120000000,PG-13,107.0,"['Action', 'Adventure', 'Science fiction']",428028233
The King's Speech,2010,The Weinstein Company,355450,15000000,R,118.0,"['Biography', 'Drama', 'History']",423999102
The Matrix Revolutions,2003,Warner Bros.,48475154,150000000,R,129.0,"['Action', 'Science fiction']",427343298
Bad Boys for Life,2020,Sony Pictures Entertainment (SPE),62504105,90000000,R,124.0,"['Action', 'Comedy', 'Crime', 'Thriller']",426505244
Django Unchained,2012,The Weinstein Company,30122888,100000000,R,165.0,"['Drama', 'Western']",425368238
Dances with Wolves,1990,Orion Pictures,598257,22000000,,181.0,"['Adventure', 'Drama', 'Western']",184208848
The Chronicles of Narnia: Prince Caspian,2008,Walt Disney Studios Motion Pictures,55034805,225000000,PG,150.0,"['Action', 'Adventure', 'Family', 'Fantasy']",419665568
Sex and the City,2008,Warner Bros.,57038404,65000000,R,145.0,"['Comedy', 'Drama', 'Romance']",418765321
The Mummy,2017,Universal Pictures,31688375,125000000,PG-13,111.0,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']",409231607
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Twentieth Century Fox,24005069,155000000,PG,113.0,"['Adventure', 'Family', 'Fantasy']",415686217
Jason Bourne,2016,Universal Pictures,59215365,120000000,PG-13,123.0,"['Action', 'Thriller']",415484914
The Wolverine,2013,Twentieth Century Fox,53113752,120000000,PG-13,126.0,"['Action', 'Science fiction']",414828246
Kingsman: The Secret Service,2015,Twentieth Century Fox,36206331,81000000,R,129.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",414351546
Night at the Museum: Battle of the Smithsonian,2009,Twentieth Century Fox,54173286,150000000,PG,105.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",413106170
Batman,1989,Warner Bros.,40489746,35000000,,126.0,"['Action', 'Adventure']",251188924
Pacific Rim,2013,Warner Bros.,37285325,190000000,PG-13,131.0,"['Action', 'Adventure', 'Science fiction']",411002906
Kingsman: The Golden Circle,2017,Twentieth Century Fox,39023010,104000000,R,141.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",410902662
Ice Age: Collision Course,2016,Twentieth Century Fox,21373064,105000000,PG,94.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Science fiction']",408579038
Twilight,2008,Summit Entertainment,69637740,37000000,PG-13,122.0,"['Drama', 'Fantasy', 'Romance']",407187715
Signs,2002,Walt Disney Studios Motion Pictures,60117080,72000000,PG-13,106.0,"['Drama', 'Mystery', 'Science fiction', 'Thriller']",408247917
X2: X-Men United,2003,Twentieth Century Fox,85558731,110000000,PG-13,134.0,"['Action', 'Science fiction', 'Thriller']",407711549
Alita: Battle Angel,2019,Twentieth Century Fox,28525613,170000000,PG-13,122.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",404980543
The Mummy: Tomb of the Dragon Emperor,2008,Universal Pictures,40457770,145000000,PG-13,112.0,"['Action', 'Fantasy', 'Horror', 'War']",403449830
Prometheus,2012,Twentieth Century Fox,51050101,130000000,R,124.0,"['Adventure', 'Mystery', 'Science fiction']",403354469
Mamma Mia! Here We Go Again,2018,Universal Pictures,34952180,75000000,PG-13,114.0,"['Comedy', 'Musical', 'Romance']",395044706
TRON: Legacy,2010,Walt Disney Studios Motion Pictures,44026211,170000000,PG,125.0,"['Action', 'Adventure', 'Science fiction']",400062763
Mission: Impossible III,2006,Paramount Pictures,47743273,150000000,PG-13,126.0,"['Action', 'Adventure', 'Thriller']",398479497
Snow White and the Huntsman,2012,Universal Pictures,56217700,170000000,PG-13,127.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",396592829
Grease,1978,Paramount Pictures,8941717,6000000,PG,110.0,"['Musical', 'Romance']",159978870
Solo: A Star Wars Story,2018,Walt Disney Studios Motion Pictures,84420489,275000000,PG-13,135.0,"['Action', 'Adventure', 'Science fiction']",392924807
The Wolf of Wall Street,2013,Paramount Pictures,18361578,100000000,R,117.09462915601023,"['Biography', 'Crime', 'Drama']",392000694
Superman Returns,2006,Warner Bros.,52535096,270000000,PG-13,154.0,"['Action', 'Science fiction']",391081192
Robin Hood: Prince of Thieves,1991,Warner Bros.,25625602,48000000,,143.0,"['Action', 'Adventure', 'Drama', 'Romance']",390493908
Indiana Jones and the Raiders of the Lost Ark,1981,Paramount Pictures,8305823,18000000,PG,115.0,"['Action', 'Adventure']",212222025
Independence Day: Resurgence,2016,Twentieth Century Fox,41039944,165000000,PG-13,117.09462915601023,"['Action', 'Adventure', 'Science fiction']",389681935
Live Free or Die Hard,2007,Twentieth Century Fox,33369559,110000000,PG-13,128.0,"['Action', 'Thriller']",388156011
Godzilla: King of the Monsters,2019,Warner Bros.,47776293,170000000,PG-13,132.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",386600138
Home,2015,Twentieth Century Fox,52107731,135000000,PG,94.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",386041607
Star Trek,2009,Paramount Pictures,75204289,150000000,PG-13,127.0,"['Action', 'Adventure', 'Science fiction']",385680446
1917,2019,Universal Pictures,576216,95000000,R,119.0,"['Action', 'Drama', 'War']",384983987
Happy Feet,2006,Warner Bros.,41533432,100000000,PG,108.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",384335608
Ice Age,2002,Twentieth Century Fox,46312454,59000000,PG,81.0,"['Adventure', 'Animation', 'Comedy', 'Family']",383257136
Back to the Future,1985,Universal Pictures,11152500,19000000,,116.0,"['Adventure', 'Comedy', 'Science fiction']",222067229
Fifty Shades Darker,2017,Universal Pictures,46607250,55000000,R,118.0,"['Drama', 'Romance']",381545846
Monsters vs. Aliens,2009,DreamWorks,59321095,175000000,PG,94.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",381509870
True Lies,1994,Twentieth Century Fox,25869770,115000000,R,141.0,"['Action', 'Comedy', 'Thriller']",378882411
Slumdog Millionaire,2008,Fox Searchlight Pictures,360018,15000000,R,117.09462915601023,"['Drama', 'Romance']",378410113
Taken 2,2012,Twentieth Century Fox,49514769,45000000,PG-13,92.0,"['Action', 'Crime', 'Thriller']",376141306
G.I. Joe: Retaliation,2013,Paramount Pictures,40501814,130000000,PG-13,110.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",375740705
Mad Max: Fury Road,2015,Warner Bros.,45428128,150000000,R,117.09462915601023,"['Action', 'Adventure', 'Science fiction', 'Thriller']",374736354
Spider-Man: Into the Spider-Verse,2018,Sony Pictures Entertainment (SPE),35363376,90000000,PG,117.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science fiction']",375540831
Shark Tale,2004,DreamWorks Distribution,47604606,75000000,PG,90.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",374583879
Once Upon a Time... In Hollywood,2019,Sony Pictures Entertainment (SPE),41082018,90000000,R,161.0,"['Comedy', 'Drama']",374375059
What Women Want,2000,Paramount Pictures,33614543,70000000,PG-13,127.0,"['Comedy', 'Fantasy', 'Romance']",374111707
Batman Begins,2005,Warner Bros.,48745440,150000000,PG-13,140.0,"['Action', 'Adventure']",371853783
Penguins of Madagascar,2014,Twentieth Century Fox,25447444,132000000,PG,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Science fiction']",373515621
X-Men Origins: Wolverine,2009,Twentieth Century Fox,85058003,150000000,PG-13,107.0,"['Action', 'Science fiction']",373062864
The Golden Compass,2007,New Line Cinema,26125000,180000000,PG-13,113.0,"['Adventure', 'Family', 'Fantasy']",372234864
Fifty Shades Freed,2018,Universal Pictures,38560195,55000000,R,105.0,"['Drama', 'Romance', 'Thriller']",371985018
Hitch,2005,Sony Pictures Entertainment (SPE),43142214,70000000,PG-13,118.0,"['Comedy', 'Romance']",371594210
Terminator Salvation,2009,Warner Bros.,42558390,200000000,PG-13,115.0,"['Action', 'Science fiction']",371353001
Captain America: The First Avenger,2011,Paramount Pictures,65058524,140000000,PG-13,124.0,"['Action', 'Adventure', 'Science fiction']",370569774
Edge of Tomorrow,2014,Warner Bros.,28760246,178000000,PG-13,113.0,"['Action', 'Adventure', 'Science fiction']",370541256
There's Something About Mary,1998,Twentieth Century Fox,13740644,23000000,R,119.0,"['Comedy', 'Romance']",369884651
Gone Girl,2014,Twentieth Century Fox,37513109,61000000,R,149.0,"['Drama', 'Mystery', 'Thriller']",369330363
Jurassic Park III,2001,Universal Pictures,50771645,93000000,PG-13,92.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",368780809
My Big Fat Greek Wedding,2002,IFC Films,597362,5000000,PG,95.0,"['Comedy', 'Drama', 'Romance']",368744044
Die Hard with a Vengeance,1995,Twentieth Century Fox,22162245,90000000,R,128.0,"['Action', 'Adventure', 'Thriller']",366101666
Shazam!,2019,Warner Bros.,53505326,100000000,PG-13,132.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",365971656
The Nun,2018,Warner Bros.,53807379,22000000,R,96.0,"['Horror', 'Mystery', 'Thriller']",365550119
Alvin and the Chipmunks,2007,Twentieth Century Fox,44307417,60000000,PG,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",365352546
Notting Hill,1999,Universal Pictures,21811180,42000000,PG-13,124.0,"['Comedy', 'Drama', 'Romance']",124182015
A Bug's Life,1998,Walt Disney Studios Motion Pictures,291121,120000000,,95.0,"['Adventure', 'Animation', 'Comedy', 'Family']",363258859
Night at the Museum: Secret of the Tomb,2014,Twentieth Century Fox,17100520,127000000,PG,98.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",363204635
Ocean's Twelve,2004,Warner Bros.,39153380,110000000,PG-13,125.0,"['Crime', 'Thriller']",362744280
Planet of the Apes,2001,Twentieth Century Fox,68532960,100000000,PG-13,119.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",362211740
The Hangover Part III,2013,Warner Bros.,41671198,103000000,R,100.0,"['Comedy', 'Crime']",362000072
The World Is Not Enough,1999,Metro-Goldwyn-Mayer (MGM),35519007,135000000,PG-13,128.0,"['Action', 'Adventure', 'Crime', 'Thriller']",126943684
Fast & Furious,2009,Universal Pictures,70950500,85000000,PG-13,107.0,"['Action', 'Thriller']",360364265
Noah,2014,Paramount Pictures,43720472,125000000,PG-13,138.0,"['Action', 'Adventure', 'Drama']",359200044
The Karate Kid,2010,Sony Pictures Entertainment (SPE),55665805,40000000,PG,140.0,"['Action', 'Drama', 'Family', 'Sport']",359126022
Hotel Transylvania,2012,Sony Pictures Entertainment (SPE),42522194,85000000,PG,91.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Romance']",358375603
Minority Report,2002,Twentieth Century Fox,35677125,102000000,PG-13,145.0,"['Action', 'Crime', 'Mystery', 'Science fiction', 'Thriller']",358372926
The Legend of Tarzan,2016,Warner Bros.,38527856,180000000,PG-13,110.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",356700357
American Beauty,1999,DreamWorks Distribution,861531,15000000,R,122.0,['Drama'],356296601
Rain Man,1988,Metro-Goldwyn-Mayer (MGM),7005719,25000000,,133.0,['Drama'],354825435
The Great Gatsby,2013,Warner Bros.,50085185,105000000,PG-13,143.0,"['Drama', 'Romance']",353641895
Dumbo,2019,Walt Disney Studios Motion Pictures,45990748,170000000,PG,112.0,"['Adventure', 'Family', 'Fantasy']",353284621
"I, Robot",2004,Twentieth Century Fox,52179887,120000000,PG-13,115.0,"['Action', 'Drama', 'Science fiction', 'Thriller']",353133898
Basic Instinct,1992,TriStar Pictures,15129385,49000000,R,127.0,"['Drama', 'Mystery', 'Thriller']",117727224
Murder on the Orient Express,2017,Twentieth Century Fox,28681472,55000000,PG-13,114.0,"['Crime', 'Drama', 'Mystery']",352789811
X-Men: First Class,2011,Twentieth Century Fox,55101604,160000000,PG-13,131.0,"['Action', 'Adventure', 'Science fiction']",352616690
The Angry Birds Movie,2016,Sony Pictures Entertainment (SPE),38155177,73000000,PG,97.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",352333929
Catch Me If You Can,2002,DreamWorks Distribution,30053627,52000000,PG-13,141.0,"['Biography', 'Crime', 'Drama']",352114312
Now You See Me,2013,Lionsgate,29350389,75000000,PG-13,115.0,"['Crime', 'Mystery', 'Thriller']",351723989
Hannibal,2001,Metro-Goldwyn-Mayer (MGM),58003121,87000000,R,131.0,"['Crime', 'Drama', 'Thriller']",351692268
The Mask,1994,New Line Cinema,23117068,23000000,PG-13,101.0,"['Action', 'Comedy', 'Crime', 'Fantasy']",351583407
Peter Rabbit,2018,Sony Pictures Entertainment (SPE),25010928,50000000,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",351266433
Speed,1994,Twentieth Century Fox,14456194,30000000,R,116.0,"['Action', 'Adventure', 'Thriller']",121248145
Dinosaur,2000,Walt Disney Studios Motion Pictures,38854851,127500000,PG,82.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",349822765
Mary Poppins Returns,2018,Walt Disney Studios Motion Pictures,23523121,130000000,PG,130.0,"['Comedy', 'Family', 'Fantasy', 'Musical']",349537494
The Lorax,2012,Universal Pictures,70217070,70000000,PG,86.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",348840316
The Maze Runner,2014,Twentieth Century Fox,32512804,34000000,PG-13,117.09462915601023,"['Action', 'Mystery', 'Science fiction', 'Thriller']",348319861
The Smurfs 2,2013,Sony Pictures Entertainment (SPE),17548389,105000000,PG,105.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",347545360
National Treasure,2004,Walt Disney Studios Motion Pictures,35142554,100000000,PG,131.0,"['Action', 'Adventure', 'Mystery', 'Thriller']",347512318
Rush Hour 2,2001,New Line Cinema,67408222,90000000,PG-13,90.0,"['Action', 'Comedy', 'Crime', 'Thriller']",347325802
Trolls,2016,Twentieth Century Fox,46581142,125000000,PG,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",346864462
xXx: Return of Xander Cage,2017,Paramount Pictures,20130142,85000000,PG-13,107.0,"['Action', 'Adventure', 'Thriller']",346118277
How the Grinch Stole Christmas,2000,Universal Pictures,55082330,123000000,PG,104.0,"['Comedy', 'Family', 'Fantasy']",345141403
