title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
Creed II,2018,Metro-Goldwyn-Mayer (MGM),35574710,50000000,PG-13,130.0,"['Drama', 'Sport']",214215889
Public Enemies,2009,Universal Pictures,25271675,100000000,R,140.0,"['Biography', 'Crime', 'Drama', 'History']",214104620
The Bourne Identity,2002,Universal Pictures,27118640,60000000,PG-13,119.0,"['Action', 'Mystery', 'Thriller']",214034224
Disclosure,1994,Warner Bros.,10068126,55000000,R,128.0,"['Drama', 'Thriller']",214015089
Pulp Fiction,1994,Miramax,9311882,8000000,R,154.0,"['Crime', 'Drama']",107928762
The Aviator,2004,Miramax,858021,110000000,PG-13,170.0,"['Biography', 'Drama']",213719942
"Crouching Tiger, Hidden Dragon",2000,Sony Pictures Classics,663205,17000000,PG-13,117.09462915601023,"['Action', 'Adventure', 'Fantasy', 'Romance']",213525736
Braveheart,1995,Paramount Pictures,9938276,72000000,R,178.0,"['Biography', 'Drama', 'History', 'War']",75609945
Into the Woods,2014,Walt Disney Studios Motion Pictures,31051923,50000000,PG,125.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Musical']",212902372
Bedtime Stories,2008,Walt Disney Studios Motion Pictures,27450296,80000000,PG,99.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Science fiction']",212874864
Miss Congeniality,2000,Warner Bros.,10046534,45000000,PG-13,109.0,"['Action', 'Comedy', 'Crime', 'Romance']",212742720
Entrapment,1999,Twentieth Century Fox,20145595,66000000,PG-13,113.0,"['Action', 'Crime', 'Romance', 'Thriller']",212404396
End of Days,1999,Universal Pictures,20523595,100000000,R,122.0,"['Action', 'Fantasy', 'Horror', 'Thriller']",211989043
Bridget Jones's Baby,2016,Universal Pictures,8571785,35000000,R,123.0,"['Comedy', 'Drama', 'Romance']",211952420
Fury,2014,Sony Pictures Entertainment (SPE),23702421,68000000,R,134.0,"['Action', 'Drama', 'War']",211817906
Battle Los Angeles,2011,Sony Pictures Entertainment (SPE),35573187,70000000,PG-13,116.0,"['Action', 'Science fiction']",211819354
Australia,2008,Twentieth Century Fox,14800723,130000000,PG-13,165.0,"['Adventure', 'Comedy', 'Drama', 'Romance', 'War', 'Western']",211787511
Due Date,2010,Warner Bros.,32689406,65000000,R,95.0,"['Comedy', 'Drama']",211780824
Master and Commander: The Far Side of the World,2003,Twentieth Century Fox,25105990,150000000,PG-13,138.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",211622535
A Series of Unfortunate Events,2004,Paramount Pictures,30061756,140000000,PG,108.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",211468235
District 9,2009,TriStar Pictures,37354308,30000000,R,112.0,"['Action', 'Science fiction', 'Thriller']",210888950
The Others,2001,Miramax,14089952,17000000,PG-13,101.0,"['Horror', 'Mystery', 'Thriller']",209947037
Horrible Bosses,2011,Warner Bros.,28302165,35000000,R,98.0,"['Comedy', 'Crime']",209838559
Red Dragon,2002,Universal Pictures,36540945,78000000,R,124.0,"['Crime', 'Drama', 'Thriller']",209196298
Tomorrowland,2015,Walt Disney Studios Motion Pictures,33028165,190000000,PG,130.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Science fiction']",209035668
Me Before You,2016,Warner Bros.,18723269,20000000,PG-13,106.0,"['Drama', 'Romance']",208314186
Safe House,2012,Universal Pictures,40172720,85000000,R,115.0,"['Action', 'Thriller']",208076205
S.W.A.T.,2003,Sony Pictures Entertainment (SPE),37062535,80000000,PG-13,117.0,"['Action', 'Adventure', 'Crime', 'Thriller']",207725639
The Fast and the Furious,2001,Universal Pictures,40089015,38000000,PG-13,106.0,"['Action', 'Crime', 'Thriller']",207283925
Paranormal Activity 3,2011,Paramount Pictures,52568183,5000000,R,83.0,"['Horror', 'Mystery']",207039844
Philadelphia,1993,TriStar Pictures,143433,26000000,PG-13,125.0,['Drama'],206678440
Sleepy Hollow,1999,Paramount Pictures,30060467,100000000,R,105.0,"['Fantasy', 'Horror', 'Mystery']",206071502
The Holiday,2006,Sony Pictures Entertainment (SPE),12778913,85000000,PG-13,136.0,"['Comedy', 'Romance']",205841885
London Has Fallen,2016,Focus Features,21635601,60000000,R,99.0,"['Action', 'Thriller']",205754447
The Break-Up,2006,Universal Pictures,39172785,52000000,PG-13,106.0,"['Comedy', 'Drama', 'Romance']",205668210
White House Down,2013,Sony Pictures Entertainment (SPE),24852258,150000000,PG-13,131.0,"['Action', 'Drama', 'Thriller']",205366737
A Dog's Purpose,2017,Universal Pictures,18222810,22000000,PG,100.0,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",205035819
